       t(i)            x(i)            as(i)            e(i)
   0.00000000       1.00000000       1.00000000       0.00000000    
  0.100000001      0.875000000      0.877582550       2.58255005E-03
  0.200000003      0.531250000      0.540302277       9.05227661E-03
  0.300000012       5.46875000E-02   7.07371980E-02   1.60496980E-02
  0.400000006     -0.435546875     -0.416146845       1.94000304E-02
  0.500000000     -0.816894531     -0.801143587       1.57509446E-02
  0.600000024     -0.994018555     -0.989992499       4.02605534E-03
  0.699999988     -0.922637939     -0.936456680       1.38187408E-02
  0.800000012     -0.620597839     -0.653643608       3.30457687E-02
  0.900000036     -0.163408279     -0.210795805       4.73875254E-02
   1.00000000      0.334633350      0.283662200       5.09711504E-02
   1.10000002      0.749016643      0.708669782       4.03468609E-02
   1.20000005      0.976145744      0.960170269       1.59754753E-02
   1.30000007      0.959238470      0.976587534       1.73490644E-02
   1.39999998      0.702521563      0.753902256       5.13806939E-02
   1.50000000      0.270174265      0.346635312       7.64610469E-02
   1.60000002     -0.229716539     -0.145500034       8.42165053E-02
   1.70000005     -0.672178268     -0.602011919       7.01663494E-02
   1.80000007     -0.946595430     -0.911130250       3.54651809E-02
   1.89999998     -0.984363675     -0.997172177       1.28085017E-02
   2.00000000     -0.776040971     -0.839071512       6.30305409E-02
